koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_impact,koi_steff,koi_slogg,koi_srad,koi_period_err1,koi_depth_err1,koi_duration_err1,label
12.3935651,3.8896,916.6,35.8,2.66,1.0,0,0,0,0,0.883,5557.0,4.603,0.75,3.932e-05,29.1,0.0834,transit
43.84439721,6.802,615.2,83.7,2.87,0.998,0,0,0,0,0.852,5854.0,4.406,1.012,9.613e-05,7.7,0.119,transit
3.341913228,3.813,725.3,39.0,21.55,0.0,0,1,1,0,1.213,5295.0,4.551,0.811,9.953e-06,21.3,0.12,eclipsing_binary
1.626630225,2.1145,1620.6,103.6,32.43,0.773,0,0,0,0,1.26,5735.0,4.41,0.973,1.015e-06,19.0,0.0285,candidate
2.711504086,3.0099,837.5,64.5,3.12,1.0,0,0,0,0,0.023,6214.0,4.442,1.076,3.8e-06,14.5,0.0423,transit
7.21203748,4.0491,950.4,51.5,3.32,1.0,0,0,0,0,0.012,6214.0,4.442,1.076,1.553e-05,19.5,0.058,transit
8.47237911,2.7245,1123.5,47.6,2.59,1.0,0,0,0,0,0.022,5354.0,4.587,0.788,1.56e-05,26.7,0.0484,transit
60.4189369,5.039,931.3,20.1,2.36,0.989,0,0,0,0,0.094,5354.0,4.587,0.788,0.0005043,49.6,0.184,transit
12.611904345,5.1497,6105.6,277.2,7.4,1.0,0,0,0,0,0.55,5795.0,4.508,0.919,6.65e-06,27.6,0.0592,transit
1.433769925,1.8868,1976.3,112.6,46.58,0.0,0,1,0,0,1.268,6017.0,4.22,1.339,7.41e-07,20.4,0.0232,eclipsing_binary
10.31872301,3.836,871.7,38.2,28.59,0.0,0,1,1,0,1.215,5927.0,4.409,1.06,2.846e-05,26.4,0.121,eclipsing_binary
2.539183147,2.4282,382.1,38.9,2.06,1.0,0,0,0,0,0.238,5519.0,4.35,1.062,5.073e-06,11.4,0.0559,transit
6.770300385,2.0844,1304.0,50.8,2.77,1.0,0,0,0,0,0.838,5653.0,4.656,0.679,9.537e-06,29.7,0.0454,transit
0.444291966,2.0792,10967.0,299.7,27.51,0.0,0,1,1,1,1.258,5255.0,4.678,0.636,9.7e-08,45.9,0.0115,eclipsing_binary
10.181584004,3.5089,5741.1,183.6,7.73,1.0,0,0,0,0,0.92,5988.0,4.541,0.836,6.188e-06,53.2,0.0331,candidate
20.06036336,3.3203,1494.7,35.2,1.96,1.0,0,0,0,0,0.556,3950.0,4.754,0.493,5.839e-05,45.1,0.0754,transit
46.1842039,4.758,1394.7,26.0,1.83,1.0,0,0,0,0,0.013,3950.0,4.754,0.493,0.0002654,56.4,0.13,transit
23.9800854,5.351,104.0,17.1,1.31,0.952,0,0,0,0,0.95,5854.0,4.406,1.012,0.0002003,6.5,0.177,transit
7.82502168,2.186,520.8,15.9,1.2,0.994,0,0,0,0,0.708,3950.0,4.754,0.493,3.89e-05,36.4,0.12,transit
3.895936525,2.3111,8544.8,370.8,7.34,1.0,0,0,0,0,0.524,5557.0,4.592,0.774,7.71e-07,29.5,0.0302,transit
22.36646466,5.228,986.8,32.1,2.32,0.999,0,0,0,0,0.4,5395.0,4.615,0.734,9.761e-05,35.1,0.122,transit
1.625522174,2.38963,7969.0,799.7,9.73,1.0,0,0,0,0,0.076,5539.0,4.322,1.106,1.58e-07,11.8,0.00338,transit
19.620346923,2.0038,21725.0,340.5,13.6,1.0,0,0,0,0,0.458,5710.0,4.492,0.905,3.73e-06,85.0,0.0292,candidate
7.544039,6.222,322.6,14.2,17.47,0.0,1,0,1,0,1.175,5657.0,4.567,0.824,0.0001023,28.2,0.731,blend
9.02930689,3.1449,1019.8,53.9,2.57,1.0,0,0,0,0,0.024,5349.0,4.526,0.82,1.648e-05,21.9,0.0528,candidate
10.328035714,7.7915,16918.0,636.8,13.28,0.053,0,1,0,0,0.281,5627.0,4.359,1.024,3.762e-06,31.8,0.0272,eclipsing_binary
143.2063047,8.9302,10566.0,138.8,8.9,1.0,0,0,0,0,0.379,5485.0,4.556,0.867,0.0002348,82.4,0.0961,transit
6.164876,3.262,55.8,14.4,0.79,0.95,0,0,0,0,0.646,5854.0,4.406,1.012,4.635e-05,4.3,0.186,transit
60.32494216,6.6188,20280.0,347.2,12.19,0.745,0,0,0,0,0.224,5485.0,4.556,0.867,3.207e-05,64.0,0.0327,transit
1.540397253,2.1541,816.1,38.8,25.69,0.0,0,0,1,1,1.225,5663.0,4.53,0.915,2.702e-06,25.7,0.0846,blend
2.99025443,5.414,589.2,48.5,1.7,0.0,0,0,1,1,0.014,4667.0,4.578,0.731,1.168e-05,14.1,0.113,blend
1.594745374,1.9604,15044.0,1009.3,11.3,1.0,0,0,0,0,0.514,5934.0,4.491,0.893,1.13e-07,20.3,0.0106,transit
4.783002698,2.335,1008.7,70.6,2.5,1.0,0,0,0,0,0.003,5170.0,4.574,0.807,5.432e-06,16.6,0.0332,candidate
20.50588921,4.0595,2105.5,78.5,3.41,1.0,0,0,0,0,0.26,4905.0,4.544,0.761,3.206e-05,31.0,0.0481,transit
3.340218842,1.9104,1632.6,71.6,2.03,1.0,0,0,0,0,0.466,3950.0,4.754,0.493,3.177e-06,26.6,0.0318,transit
2.507089906,2.0067,1339.2,64.9,30.26,0.0,0,1,1,0,1.255,5926.0,4.506,0.939,2.401e-06,24.7,0.0427,eclipsing_binary
18.64932728,4.4056,893.6,46.1,3.12,1.0,0,0,0,0,0.08,5775.0,4.405,1.053,5.202e-05,20.9,0.0687,transit
4.90144976,4.1654,140.7,50.6,1.7,1.0,0,0,0,0,0.529,5847.0,4.191,1.402,1.07e-05,2.9,0.0585,transit
9.75192101,4.793,418.0,28.5,2.76,0.998,0,0,0,0,0.949,5775.0,4.405,1.053,4.829e-05,16.2,0.181,transit
38.5576546,5.794,993.0,39.7,4.02,1.0,0,0,0,0,0.911,5775.0,4.405,1.053,0.0001765,26.8,0.199,transit
3.525632539,2.59959,22335.0,1996.7,11.58,0.99,0,0,0,0,0.12,5150.0,4.572,0.793,1.5e-07,13.1,0.00079,transit
34.84398644,2.9315,4523.6,76.8,7.61,1.0,0,0,0,0,0.934,5509.0,4.482,0.871,4.036e-05,82.5,0.0702,candidate
7.748094239,3.5957,2472.1,113.2,5.52,1.0,0,0,0,0,0.517,5973.0,4.439,1.085,7.553e-06,25.7,0.043,transit
23.96793669,3.827,1182.3,27.5,1.8,1.0,0,0,0,0,0.416,3747.0,4.728,0.524,9.249e-05,46.1,0.113,transit
8.11437482,2.2736,1558.0,56.4,2.1,1.0,0,0,0,0,0.573,3692.0,4.753,0.517,1.092e-05,32.0,0.0447,transit
38.036729482,4.34617,82872.0,1300.0,27.5,0.0,0,1,0,0,0.501,5575.0,4.521,0.932,3.484e-06,83.3,0.00645,eclipsing_binary
4.64090031,35.512,2450.6,296.9,30.09,0.0,0,1,0,0,1.28,6463.0,4.5,0.826,1.485e-05,11.7,0.274,eclipsing_binary
3.747838198,5.0642,616.0,138.2,13.65,0.0,0,1,1,1,1.121,5514.0,4.569,0.826,3.896e-06,5.3,0.0445,eclipsing_binary
14.74914825,6.0995,430.2,107.4,2.89,0.992,0,0,0,0,0.173,5847.0,4.191,1.402,2.174e-05,4.2,0.044,transit
21.81295996,4.3791,1175.4,37.8,3.38,1.0,0,0,0,0,0.053,5601.0,4.41,0.999,7.229e-05,35.8,0.091,transit
7.91936937,3.3148,15148.0,389.0,10.34,0.0,0,1,0,0,0.733,5690.0,4.588,0.776,2.04e-06,49.8,0.0209,eclipsing_binary
15.37562369,3.3169,15337.0,166.0,11.01,1.0,0,0,0,0,0.692,4986.0,4.496,0.833,1.017e-05,114.0,0.0645,transit
8.10363271,3.161,887.9,39.3,2.11,1.0,0,0,0,0,0.047,4861.0,4.574,0.732,2.032e-05,24.5,0.0635,transit
4.71510843,2.506,417.5,21.3,1.46,1.0,0,0,0,0,0.258,4861.0,4.574,0.732,1.941e-05,22.0,0.103,transit
6.365839713,2.9721,780.7,70.8,2.44,1.0,0,0,0,0,0.524,5776.0,4.554,0.849,8.06e-06,13.1,0.0408,transit
5.97581754,3.065,962.4,50.3,3.86,0.037,0,0,1,0,0.941,6108.0,4.471,0.997,1.118e-05,23.5,0.185,blend
2.446737317,4.7211,1177.9,110.2,26.25,0.0,0,0,1,1,1.241,5764.0,4.548,0.863,3.089e-06,12.7,0.0546,blend
