TIC ID,TFOPWG Disposition
161450762,FP
117256577,FP
147576037,FP
379931600,FP
48188920,FP
89510024,FP
158324245,KP
13419950,PC
375542276,PC
16102323,FP
458478250,KP
138361973,FP
232967666,FP
41330864,FP
302518439,PC
294176967,FP
101929303,FP
1717732429,FP
232967440,CP
154089169,CP
30329585,FP
230088370,PC
169177766,FP
359496368,FP
148914726,APC
158002130,CP
229510866,CP
341544930,FP
258777137,FP
233087860,CP
83210867,FP
289539327,FP
372757221,PC
15247229,FP
112026224,PC
287196418,APC
237185205,FP
158276040,APC
89643259,FP
147950620,CP
24364065,FP
69068526,PC
92677094,PC
203189770,KP
99869022,CP
288185138,FP
29960110,CP
327017634,FP
23434737,CP
467666275,PC
287776397,PC
308034948,FP
364393429,PC
273985865,PC
273985865,PC
273985865,PC
30037565,PC
33878688,FP
50312495,PC
389924075,PC
399144800,FP
451606970,PC
453260209,PC
141527965,PC
248092710,PC
294781547,PC
294981566,PC
319259194,APC
349095149,CP
374997123,PC
382437043,FP
299798795,CP
299798795,CP
150428703,PC
150428703,PC
177115354,PC
360156606,CP
300038935,CP
140760434,APC
287156968,CP
447061717,CP
364395234,CP
260647166,CP
260647166,CP
260647166,CP
260647166,CP
90504905,FP
103633434,CP
120757718,KP
120960812,KP
120960812,KP
153951307,CP
153951307,CP
154716798,PC
158170594,KP
159107668,PC
198212955,PC
219698776,CP
219850915,CP
229781583,PC
230127302,CP
230127302,CP
230127302,CP
230127302,CP
232540264,CP
232612416,CP
232976128,CP
233059608,FA
233120979,APC
233211762,PC
233684822,FP
236714379,APC
237222864,CP
274762761,FP
278348461,KP
288132261,PC
288735205,CP
355867695,CP
355867695,CP
355867695,CP
356311210,PC
365938305,PC
406672232,PC
416195870,PC
424865156,KP
467179528,CP
467179528,CP
158561566,KP
142394656,CP
198241702,CP
198241702,PC
237200747,FP
286923464,KP
417948359,CP
445859771,CP
459969957,PC
13499636,FA
43064903,FA
153949511,FA
153949511,PC
163539739,CP
224297258,CP
230017324,PC
232971294,PC
236445129,KP
266593143,KP
267561446,FP
274662200,FP
277507814,APC
352764091,PC
365733349,CP
408203470,FP
417676622,KP
198186769,PC
199688472,FP
202504234,PC
219015370,CP
219852584,CP
219854185,CP
229536616,FP
237104103,CP
258777134,FP
293687315,KP
356867115,CP
356867115,PC
441797803,PC
185405474,FP
186000935,FP
